timestamp,latitude,longitude,speed,latency
2023-09-19 00:08:41,83.833833,19.04887,0.17,0
2023-09-19 00:08:42,83.833833,19.04887,0.04,1.0
2023-09-19 00:08:43,83.833833,19.048871000000002,0.09,1.0
2023-09-19 00:08:44,83.833834,19.048872,0.15,1.0
2023-09-19 00:08:45,83.833834,19.048872,0.15,1.0
2023-09-19 00:08:46,83.833834,19.048873,0.15,1.0
2023-09-19 00:08:48,83.833836,19.048874,0.17,2.0
2023-09-19 00:08:49,83.833836,19.048874,0.04,1.0
2023-09-19 00:08:51,83.833836,19.048874,0.04,2.0
2023-09-19 00:08:52,83.833836,19.048874,0.04,1.0
2023-09-19 00:08:53,83.833836,19.048874,0.07,1.0
2023-09-19 00:08:55,83.833836,19.048872,0.06,2.0
2023-09-19 00:08:56,83.833836,19.048871000000002,0.09,1.0
2023-09-19 00:08:57,83.833835,19.04887,0.09,1.0
2023-09-19 00:08:58,83.833835,19.048869,0.09,1.0
2023-09-19 00:09:00,83.833834,19.048867,0.11,2.0
2023-09-19 00:09:01,83.833833,19.048867,0.06,1.0
2023-09-19 00:09:02,83.833833,19.048866,0.04,1.0
2023-09-19 00:09:03,83.833832,19.048865000000003,0.04,1.0
2023-09-19 00:09:04,83.833831,19.048864000000002,0.04,1.0
2023-09-19 00:09:06,83.83383,19.048864000000002,0.04,2.0
2023-09-19 00:09:07,83.833828,19.048863,0.02,1.0
2023-09-19 00:09:08,83.833827,19.048862,0.13,1.0
2023-09-19 00:09:09,83.833826,19.048862,0.04,1.0
2023-09-19 00:09:10,83.833826,19.048861000000002,0.04,1.0
2023-09-19 00:09:11,83.833825,19.048861000000002,0.04,1.0
2023-09-19 00:09:12,83.833825,19.04886,0.04,1.0
2023-09-19 00:09:14,83.833825,19.048859,0.07,2.0
2023-09-19 00:09:15,83.833825,19.048859,0.06,1.0
2023-09-19 00:09:17,83.833824,19.048859,0.06,2.0
2023-09-19 00:09:18,83.833823,19.048859,0.06,1.0
2023-09-19 00:09:19,83.833823,19.048859,0.06,1.0
2023-09-19 00:09:21,83.833822,19.048859,0.15,2.0
2023-09-19 00:09:22,83.833822,19.048859,0.02,1.0
2023-09-19 00:09:23,83.833821,19.048859,0.17,1.0
2023-09-19 00:09:24,83.833821,19.048859,0.17,1.0
2023-09-19 00:09:25,83.83382,19.048859,0.17,1.0
2023-09-19 00:09:26,83.83382,19.048859,0.17,1.0
2023-09-19 00:09:28,83.833821,19.048859,0.17,2.0
2023-09-19 00:09:29,83.833821,19.048859,0.11,1.0
2023-09-19 00:09:30,83.833821,19.048859,0.11,1.0
2023-09-19 00:09:31,83.833821,19.048858000000003,0.11,1.0
2023-09-19 00:09:33,83.833822,19.048857,0.13,2.0
2023-09-19 00:09:34,83.833822,19.048857,0.07,1.0
2023-09-19 00:09:35,83.833823,19.048856,0.22,1.0
2023-09-19 00:09:37,83.833823,19.048855,0.22,2.0
2023-09-19 00:09:38,83.833822,19.048854000000002,0.02,1.0
2023-09-19 00:09:39,83.833822,19.048853,0.09,1.0
2023-09-19 00:09:40,83.833822,19.048853,0.09,1.0
2023-09-19 00:09:41,83.833822,19.048852,0.09,1.0
2023-09-19 00:09:43,83.833821,19.04885,0.09,2.0
2023-09-19 00:09:44,83.833821,19.048849,0.04,1.0
2023-09-19 00:09:46,83.833821,19.048849,0.17,2.0
2023-09-19 00:09:47,83.833819,19.048848,0.07,1.0
2023-09-19 00:09:49,83.833818,19.048847000000002,0.07,2.0
2023-09-19 00:09:50,83.833818,19.048847000000002,0.09,1.0
2023-09-19 00:09:51,83.833818,19.048846,0.13,1.0
2023-09-19 00:09:52,83.833818,19.048846,0.24,1.0
2023-09-19 00:09:53,83.833818,19.048846,0.24,1.0
2023-09-19 00:09:54,83.833818,19.048845,0.24,1.0
2023-09-19 00:09:55,83.833817,19.048845,0.24,1.0
2023-09-19 00:09:57,83.833815,19.048845,0.06,2.0
